epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
124,11255.4,1.34865,0.97258,1.08258,0.56161,0.46907,0.48748,0.29992,1.27234,0.9099,1.05465,0.0033003,0.0033003,0.0033003
125,11345.3,1.33846,0.9682,1.08486,0.5601,0.4719,0.48773,0.3004,1.27201,0.90909,1.0544,0.00322778,0.00322778,0.00322778
126,11434.7,1.3364,0.97119,1.08235,0.56163,0.47183,0.48871,0.30091,1.27156,0.90868,1.05401,0.00315572,0.00315572,0.00315572
127,11524.6,1.35364,0.97747,1.08552,0.56636,0.46824,0.48906,0.30103,1.2713,0.90816,1.05369,0.00308412,0.00308412,0.00308412
128,11614.9,1.34701,0.97014,1.09025,0.56936,0.46747,0.48924,0.30126,1.27118,0.90781,1.05355,0.003013,0.003013,0.003013
129,11704.4,1.33818,0.96463,1.08373,0.57401,0.46364,0.48948,0.30142,1.27124,0.90727,1.05364,0.00294239,0.00294239,0.00294239
130,11794.6,1.35154,0.96843,1.08652,0.57116,0.46796,0.48948,0.30154,1.2711,0.90694,1.05364,0.0028723,0.0028723,0.0028723
131,11884.1,1.33102,0.94746,1.07931,0.56913,0.46902,0.48957,0.30168,1.27091,0.90664,1.05352,0.00280275,0.00280275,0.00280275
132,11974.4,1.34296,0.96198,1.07977,0.56845,0.46888,0.48998,0.30184,1.27101,0.90645,1.05352,0.00273375,0.00273375,0.00273375
133,12063.8,1.3365,0.95792,1.08293,0.56911,0.46907,0.49054,0.3019,1.27087,0.90617,1.05352,0.00266532,0.00266532,0.00266532
134,12153.6,1.32445,0.95232,1.07778,0.56672,0.46981,0.49059,0.30208,1.27079,0.90596,1.05352,0.00259748,0.00259748,0.00259748
135,12243.6,1.33537,0.95027,1.08229,0.56781,0.47066,0.49098,0.30219,1.27085,0.90558,1.05359,0.00253024,0.00253024,0.00253024
136,12333.3,1.34386,0.96631,1.08339,0.56617,0.4714,0.49068,0.30227,1.27079,0.90523,1.05347,0.00246363,0.00246363,0.00246363
137,12424,1.34166,0.96112,1.08471,0.56807,0.47147,0.49091,0.30223,1.27066,0.90496,1.05343,0.00239766,0.00239766,0.00239766
138,12514,1.33171,0.95467,1.08277,0.57005,0.47002,0.49102,0.30227,1.27084,0.90479,1.05342,0.00233234,0.00233234,0.00233234
139,12603.9,1.3376,0.94989,1.07911,0.56865,0.47077,0.49107,0.3026,1.27083,0.90453,1.05341,0.00226769,0.00226769,0.00226769
140,12693.7,1.32733,0.94752,1.07914,0.5674,0.47115,0.49135,0.30276,1.27057,0.9043,1.05332,0.00220372,0.00220372,0.00220372
141,12783.1,1.31481,0.93608,1.07518,0.56984,0.47148,0.49184,0.30294,1.27046,0.90401,1.05325,0.00214046,0.00214046,0.00214046
142,12872.8,1.31864,0.94131,1.07948,0.56995,0.47185,0.49187,0.30295,1.27047,0.90357,1.05328,0.00207792,0.00207792,0.00207792
143,12962.5,1.33775,0.95258,1.0809,0.57006,0.47157,0.49203,0.30312,1.27034,0.90323,1.05323,0.00201611,0.00201611,0.00201611
144,13052.4,1.32611,0.94436,1.0775,0.57041,0.47181,0.49231,0.30324,1.27033,0.90287,1.05316,0.00195505,0.00195505,0.00195505
145,13142.4,1.32517,0.93798,1.0823,0.57201,0.47184,0.49236,0.30326,1.27026,0.90265,1.05308,0.00189475,0.00189475,0.00189475
146,13231.9,1.31331,0.93109,1.07403,0.57312,0.47123,0.49256,0.30349,1.27011,0.90237,1.05304,0.00183523,0.00183523,0.00183523
147,13321.5,1.31618,0.92826,1.07477,0.57258,0.47171,0.49244,0.30344,1.27007,0.90219,1.05296,0.00177651,0.00177651,0.00177651
148,13411.1,1.3271,0.93794,1.0793,0.57459,0.47082,0.49251,0.30348,1.27015,0.90196,1.05295,0.00171859,0.00171859,0.00171859
149,13501.2,1.32578,0.939,1.07884,0.5746,0.47094,0.4925,0.30343,1.2701,0.90175,1.05294,0.00166149,0.00166149,0.00166149
150,13591.3,1.30902,0.92617,1.06907,0.57694,0.46955,0.49257,0.30344,1.27007,0.90158,1.05288,0.00160523,0.00160523,0.00160523
151,13680.9,1.33029,0.94297,1.08109,0.57805,0.46927,0.49276,0.30374,1.27003,0.90139,1.05292,0.00154982,0.00154982,0.00154982
152,13771.2,1.31963,0.93154,1.07635,0.57774,0.47045,0.4929,0.30378,1.26992,0.90121,1.05287,0.00149527,0.00149527,0.00149527
153,13860.9,1.32756,0.93359,1.07767,0.5786,0.47096,0.49336,0.30394,1.26988,0.90099,1.05285,0.00144161,0.00144161,0.00144161
154,13950.7,1.31978,0.93529,1.07718,0.57902,0.47097,0.49347,0.30396,1.26975,0.90061,1.05282,0.00138883,0.00138883,0.00138883
155,14040.2,1.31935,0.92543,1.07039,0.58039,0.47063,0.49363,0.30397,1.26979,0.90038,1.05282,0.00133695,0.00133695,0.00133695
156,14130.1,1.31819,0.92667,1.07739,0.5757,0.47256,0.4935,0.30411,1.26967,0.90018,1.05273,0.00128599,0.00128599,0.00128599
157,14220.1,1.31066,0.9162,1.07331,0.57566,0.4725,0.49352,0.30413,1.26963,0.90007,1.05271,0.00123596,0.00123596,0.00123596
158,14309.4,1.29987,0.91999,1.06884,0.57655,0.47159,0.49361,0.30423,1.26955,0.89998,1.05266,0.00118687,0.00118687,0.00118687
159,14399.1,1.31269,0.9223,1.07335,0.57683,0.47033,0.49346,0.30425,1.26948,0.89994,1.05261,0.00113873,0.00113873,0.00113873
160,14488.9,1.30526,0.91267,1.06885,0.57703,0.46934,0.49342,0.30417,1.26928,0.89981,1.05252,0.00109156,0.00109156,0.00109156
161,14578.7,1.31729,0.91698,1.07068,0.57673,0.46947,0.49344,0.30407,1.26927,0.89976,1.05253,0.00104537,0.00104537,0.00104537
162,14669,1.31252,0.92159,1.07137,0.57748,0.46888,0.49337,0.30413,1.26927,0.89965,1.05251,0.00100016,0.00100016,0.00100016
163,14758.9,1.31843,0.92308,1.07122,0.57985,0.46788,0.49369,0.30421,1.26922,0.8995,1.05248,0.000955951,0.000955951,0.000955951
164,14849.4,1.3108,0.92357,1.07046,0.57859,0.46855,0.49372,0.30414,1.26927,0.89937,1.05249,0.000912754,0.000912754,0.000912754
165,14939.4,1.30523,0.91371,1.06946,0.5791,0.46799,0.49368,0.3041,1.26925,0.89931,1.0525,0.000870577,0.000870577,0.000870577
166,15028.8,1.30715,0.91911,1.07091,0.57911,0.46772,0.49351,0.30395,1.26928,0.89918,1.05249,0.000829431,0.000829431,0.000829431
167,15117.8,1.30638,0.9212,1.07196,0.58003,0.46699,0.49369,0.30409,1.26927,0.8991,1.05248,0.000789327,0.000789327,0.000789327
168,15207.1,1.3118,0.91398,1.07009,0.58068,0.46727,0.49377,0.30411,1.26926,0.89896,1.05248,0.000750274,0.000750274,0.000750274
169,15297.1,1.30562,0.91668,1.06537,0.58074,0.46735,0.49377,0.30408,1.2693,0.89886,1.0525,0.000712282,0.000712282,0.000712282
170,15387.2,1.31365,0.92493,1.07082,0.58163,0.4665,0.49373,0.30403,1.26924,0.89875,1.05246,0.00067536,0.00067536,0.00067536
171,15477.2,1.29838,0.90361,1.06812,0.58261,0.46585,0.4938,0.30401,1.26927,0.89867,1.05247,0.000639518,0.000639518,0.000639518
172,15567.1,1.29675,0.90269,1.06453,0.58374,0.46546,0.49384,0.30415,1.26915,0.89858,1.05242,0.000604763,0.000604763,0.000604763
173,15657.5,1.31187,0.91185,1.06731,0.58287,0.46618,0.49394,0.30412,1.26921,0.89843,1.05246,0.000571106,0.000571106,0.000571106
174,15746.9,1.2953,0.9018,1.06407,0.58329,0.46631,0.49396,0.30402,1.26914,0.89836,1.05245,0.000538554,0.000538554,0.000538554
175,15836.4,1.28758,0.89518,1.0681,0.58335,0.46604,0.49413,0.30409,1.26916,0.89829,1.05244,0.000507115,0.000507115,0.000507115
176,15926.4,1.2985,0.90699,1.06947,0.58308,0.46597,0.49408,0.30407,1.26924,0.8983,1.05245,0.000476796,0.000476796,0.000476796
177,16016.4,1.31931,0.9223,1.0735,0.58314,0.46596,0.49422,0.30414,1.2693,0.89827,1.05247,0.000447606,0.000447606,0.000447606
178,16105.8,1.29502,0.90162,1.07016,0.58098,0.46717,0.49455,0.30421,1.26936,0.8982,1.05249,0.000419552,0.000419552,0.000419552
179,16196.1,1.30403,0.90546,1.06704,0.5807,0.46727,0.49449,0.30426,1.2694,0.89822,1.0525,0.00039264,0.00039264,0.00039264
