epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
141,27354.6,1.97702,1.14981,1.05285,0.48741,0.45611,0.4612,0.2076,1.88325,1.14163,1.04867,0.00214046,0.00214046,0.00214046
142,27537.2,1.98598,1.17203,1.05805,0.47644,0.45793,0.46159,0.20801,1.88276,1.14062,1.04847,0.00207792,0.00207792,0.00207792
143,27719.4,1.96184,1.13993,1.05067,0.48362,0.45831,0.46156,0.20823,1.88223,1.13945,1.04825,0.00201611,0.00201611,0.00201611
144,27901.2,1.97951,1.14044,1.05021,0.50121,0.46262,0.46223,0.20792,1.88183,1.13848,1.04808,0.00195505,0.00195505,0.00195505
145,28083.6,1.96646,1.14186,1.04911,0.50095,0.45908,0.46254,0.20804,1.88129,1.13754,1.0479,0.00189475,0.00189475,0.00189475
146,28265.3,1.96066,1.15399,1.05323,0.50714,0.45977,0.46326,0.20859,1.88082,1.13652,1.0477,0.00183523,0.00183523,0.00183523
147,28448,1.98186,1.14369,1.04488,0.50838,0.45961,0.46412,0.20916,1.88033,1.13556,1.0475,0.00177651,0.00177651,0.00177651
148,28630,1.96651,1.13669,1.04803,0.51602,0.45999,0.46534,0.20926,1.87984,1.13458,1.04731,0.00171859,0.00171859,0.00171859
149,28811.9,1.97174,1.13851,1.04672,0.51901,0.45821,0.46627,0.20987,1.87931,1.13352,1.04707,0.00166149,0.00166149,0.00166149
150,28994.1,1.96333,1.14436,1.04699,0.52161,0.45764,0.46762,0.21041,1.87887,1.13257,1.04691,0.00160523,0.00160523,0.00160523
151,29268.4,1.96581,1.13885,1.04735,0.52263,0.45631,0.46811,0.21058,1.87834,1.1316,1.0467,0.00154982,0.00154982,0.00154982
152,29451.2,1.96374,1.12398,1.04673,0.52846,0.45826,0.47061,0.21121,1.87791,1.13067,1.04653,0.00149527,0.00149527,0.00149527
153,29634.7,1.94211,1.11776,1.04454,0.52985,0.45807,0.47091,0.21137,1.87756,1.12961,1.04639,0.00144161,0.00144161,0.00144161
154,29816.4,1.97161,1.14365,1.05109,0.53214,0.45789,0.47179,0.21186,1.8771,1.12864,1.04621,0.00138883,0.00138883,0.00138883
155,29998.5,1.95532,1.12711,1.04425,0.53577,0.45762,0.47239,0.21225,1.87666,1.12776,1.04603,0.00133695,0.00133695,0.00133695
